== 2024-02-26 16:10:33.257053 == | ================启动Log================
== 2024-02-26 16:10:33.702989 cancelAll== | 执行全撤!!开盘撤单
== 2024-02-26 16:10:33.876897 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 16:10:34.003696 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 16:10:48.450399 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:13:56.708007 == | ================启动Log================
== 2024-02-26 16:13:56.884437 cancelAll== | 执行全撤!!开盘撤单
== 2024-02-26 16:13:58.662536 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:14:58.823163 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:15:58.934300 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:16:45.546266 == | ================启动Log================
== 2024-02-26 16:16:45.686698 cancelAll== | 执行全撤!!开盘撤单
== 2024-02-26 16:16:45.894998 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 16:16:48.392800 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:17:48.563639 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:18:48.734545 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:19:48.903402 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:20:49.082647 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:21:50.254750 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:22:50.377831 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 16:22:51.593805 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:23:51.744347 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:24:51.852395 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:25:51.968927 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 16:25:53.128236 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:26:54.294113 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:27:54.453154 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:28:54.608128 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:29:54.810606 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:30:55.013188 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:31:56.145557 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:32:56.451780 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:33:56.613202 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:34:56.753876 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:35:56.954072 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:36:58.133004 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:37:58.312430 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:38:58.479677 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:39:58.626470 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:40:58.791316 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:41:59.938932 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:43:00.111859 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:44:00.271805 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:45:00.441056 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:46:00.616401 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:47:01.810591 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:48:01.967937 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:49:02.095414 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:50:02.259684 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:51:02.455916 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:52:03.627306 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:53:03.800418 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:54:03.932285 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:55:04.094935 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:56:04.260571 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:57:05.429488 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:58:05.602764 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 16:59:05.783235 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:00:05.951402 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:01:06.127488 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:02:07.228747 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:03:07.330854 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 17:03:08.489575 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:04:08.661864 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:05:08.852300 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:300.00 
== 2024-02-26 17:06:09.027816 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.98 
== 2024-02-26 17:07:10.204558 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:08:10.394555 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:09:10.599419 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:10:10.721082 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:11:10.899828 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:12:12.049449 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:13:12.238041 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:14:12.408767 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:15:12.552663 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:16:12.708555 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:17:13.900197 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:18:14.078070 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:19:14.280314 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:20:14.461338 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 17:20:15.660965 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:21:15.845894 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:22:17.251195 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:23:17.416991 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:24:17.606489 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:25:17.767171 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:26:18.055905 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:27:19.235049 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:28:19.405897 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:29:19.599208 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:30:19.782877 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:31:19.968339 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:32:21.105150 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:33:21.306829 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:34:21.504913 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:35:21.683372 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:36:21.876316 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:37:23.064273 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:38:23.240328 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:39:23.422258 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 17:39:25.704399 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:40:26.021617 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:41:26.199567 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:42:27.402182 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:43:27.982504 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:44:28.360335 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:45:28.520432 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:46:28.703850 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:47:29.888381 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:48:30.093418 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:49:30.258120 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:50:30.437014 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:51:30.617065 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:52:31.796370 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:53:32.090810 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:54:32.325780 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:55:32.536900 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:56:32.719235 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:57:33.878150 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:58:34.074545 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 17:59:34.370653 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:00:34.613035 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:01:34.776880 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:02:35.964088 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:03:36.180340 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:04:36.403465 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:05:36.588861 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:06:36.692165 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:07:37.891367 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:08:37.994771 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:09:38.183203 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:10:38.381100 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:11:38.517616 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:12:39.677227 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:13:39.845676 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:14:40.023728 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:15:40.148762 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 18:15:41.451175 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:16:41.646642 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:17:42.943677 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:18:43.108348 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:19:43.207272 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:20:43.390307 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:21:43.606381 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:22:44.764983 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:23:44.885701 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:24:45.016145 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:25:45.227356 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:26:45.335483 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:27:46.499090 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:28:46.671045 cancelAll== | 执行全撤!!报错撤单
== 2024-02-26 18:28:47.839165 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
== 2024-02-26 18:29:47.986898 reviewPosRisk== | 仓位:0 名义资产:0.00 权益:299.99 
