== 2024-02-26 16:10:33.257856 == | ================启动Log================
== 2024-02-26 16:10:33.802759 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935033802, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935033788, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:33.936639 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935033936, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935033924, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:34.057691 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935034057, 'code': -1, 'info': {'code': '40009', 'msg': 'sign签名错误', 'requestTime': 1708935034044, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:35.221475 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935035221, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935035208, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:36.306018 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935036305, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935036295, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:37.414877 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935037414, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935037403, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:38.494062 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935038493, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935038483, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:39.592433 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935039592, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935039579, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:40.694247 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935040693, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935040680, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:41.781576 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935041781, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935041770, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:42.880307 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935042879, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935042868, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:43.970012 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935043969, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935043958, 'data': None}}, 'extra': None}
== 2024-02-26 16:10:45.067952 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935045067, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:10:46.126294 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935046126, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:11:00.620513 writeLog== | k线完结,{'e': 'kline', 'E': 1708935060549, 's': 'AGLDUSDT', 'k': {'t': 1708935000000, 'T': 1708935059999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56485384, 'L': 56485500, 'o': '1.4514000', 'c': '1.4519000', 'h': '1.4522000', 'l': '1.4508000', 'v': '5225', 'n': 117, 'x': True, 'q': '7584.2494000', 'V': '3392', 'Q': '4923.6752000', 'B': '0'}}
== 2024-02-26 16:13:56.708792 == | ================启动Log================
== 2024-02-26 16:13:56.972611 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935236972, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935236951, 'data': None}}, 'extra': None}
== 2024-02-26 16:14:00.781585 writeLog== | k线完结,{'e': 'kline', 'E': 1708935240767, 's': 'AGLDUSDT', 'k': {'t': 1708935180000, 'T': 1708935239999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56486162, 'L': 56486282, 'o': '1.4572000', 'c': '1.4562000', 'h': '1.4575000', 'l': '1.4545000', 'v': '4548', 'n': 121, 'x': True, 'q': '6621.4499000', 'V': '1600', 'Q': '2329.7396000', 'B': '0'}}
