== 2024-02-26 16:10:32.246380 == | ================启动Log================
== 2024-02-26 16:10:32.848759 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935032848, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:10:33.004965 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935033004, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935032992, 'data': None}}, 'extra': None}
== 2024-02-26 16:11:00.075271 writeLog== | k线完结,{'e': 'kline', 'E': 1708935060041, 's': 'ARPAUSDT', 'k': {'t': 1708935000000, 'T': 1708935059999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168024636, 'L': 168024699, 'o': '0.06741', 'c': '0.06744', 'h': '0.06746', 'l': '0.06741', 'v': '85699', 'n': 64, 'x': True, 'q': '5779.15802', 'V': '65284', 'Q': '4402.77238', 'B': '0'}}
== 2024-02-26 16:13:55.010158 == | ================启动Log================
== 2024-02-26 16:13:55.283971 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935235283, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:14:00.108137 writeLog== | k线完结,{'e': 'kline', 'E': 1708935240096, 's': 'ARPAUSDT', 'k': {'t': 1708935180000, 'T': 1708935239999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025080, 'L': 168025139, 'o': '0.06740', 'c': '0.06735', 'h': '0.06741', 'l': '0.06735', 'v': '89793', 'n': 60, 'x': True, 'q': '6049.58867', 'V': '36854', 'Q': '2483.08458', 'B': '0'}}
== 2024-02-26 16:15:00.482364 writeLog== | k线完结,{'e': 'kline', 'E': 1708935300429, 's': 'ARPAUSDT', 'k': {'t': 1708935240000, 'T': 1708935299999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025140, 'L': 168025255, 'o': '0.06734', 'c': '0.06731', 'h': '0.06735', 'l': '0.06729', 'v': '96868', 'n': 116, 'x': True, 'q': '6520.61447', 'V': '31995', 'Q': '2153.89065', 'B': '0'}}
== 2024-02-26 16:16:01.707884 writeLog== | k线完结,{'e': 'kline', 'E': 1708935361651, 's': 'ARPAUSDT', 'k': {'t': 1708935300000, 'T': 1708935359999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025256, 'L': 168025351, 'o': '0.06732', 'c': '0.06730', 'h': '0.06734', 'l': '0.06729', 'v': '143981', 'n': 96, 'x': True, 'q': '9690.69572', 'V': '25490', 'Q': '1715.94814', 'B': '0'}}
== 2024-02-26 16:16:43.954609 == | ================启动Log================
== 2024-02-26 16:16:44.157089 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935404156, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:16:45.637195 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935405636, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:17:01.201917 writeLog== | k线完结,{'e': 'kline', 'E': 1708935421149, 's': 'ARPAUSDT', 'k': {'t': 1708935360000, 'T': 1708935419999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025352, 'L': 168025512, 'o': '0.06730', 'c': '0.06720', 'h': '0.06731', 'l': '0.06718', 'v': '194992', 'n': 161, 'x': True, 'q': '13116.02708', 'V': '42299', 'Q': '2844.02607', 'B': '0'}}
== 2024-02-26 16:18:00.077926 writeLog== | k线完结,{'e': 'kline', 'E': 1708935480032, 's': 'ARPAUSDT', 'k': {'t': 1708935420000, 'T': 1708935479999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025513, 'L': 168025878, 'o': '0.06720', 'c': '0.06727', 'h': '0.06727', 'l': '0.06710', 'v': '417314', 'n': 366, 'x': True, 'q': '28042.33006', 'V': '260335', 'Q': '17497.24609', 'B': '0'}}
== 2024-02-26 16:19:02.247235 writeLog== | k线完结,{'e': 'kline', 'E': 1708935542184, 's': 'ARPAUSDT', 'k': {'t': 1708935480000, 'T': 1708935539999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168025879, 'L': 168026089, 'o': '0.06727', 'c': '0.06741', 'h': '0.06746', 'l': '0.06727', 'v': '254061', 'n': 211, 'x': True, 'q': '17122.12735', 'V': '204734', 'Q': '13797.87358', 'B': '0'}}
== 2024-02-26 16:20:03.017568 writeLog== | k线完结,{'e': 'kline', 'E': 1708935603000, 's': 'ARPAUSDT', 'k': {'t': 1708935540000, 'T': 1708935599999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026090, 'L': 168026294, 'o': '0.06741', 'c': '0.06751', 'h': '0.06752', 'l': '0.06741', 'v': '188102', 'n': 205, 'x': True, 'q': '12691.91657', 'V': '116287', 'Q': '7846.25537', 'B': '0'}}
== 2024-02-26 16:21:00.696406 writeLog== | k线完结,{'e': 'kline', 'E': 1708935660661, 's': 'ARPAUSDT', 'k': {'t': 1708935600000, 'T': 1708935659999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026295, 'L': 168026397, 'o': '0.06752', 'c': '0.06753', 'h': '0.06755', 'l': '0.06752', 'v': '73832', 'n': 103, 'x': True, 'q': '4986.58715', 'V': '39779', 'Q': '2686.69980', 'B': '0'}}
== 2024-02-26 16:22:03.016525 writeLog== | k线完结,{'e': 'kline', 'E': 1708935723001, 's': 'ARPAUSDT', 'k': {'t': 1708935660000, 'T': 1708935719999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026398, 'L': 168026503, 'o': '0.06751', 'c': '0.06756', 'h': '0.06757', 'l': '0.06747', 'v': '96327', 'n': 106, 'x': True, 'q': '6502.73356', 'V': '61748', 'Q': '4168.60880', 'B': '0'}}
== 2024-02-26 16:22:58.316788 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935778316, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:23:01.423083 writeLog== | k线完结,{'e': 'kline', 'E': 1708935781376, 's': 'ARPAUSDT', 'k': {'t': 1708935720000, 'T': 1708935779999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026504, 'L': 168026628, 'o': '0.06756', 'c': '0.06754', 'h': '0.06757', 'l': '0.06745', 'v': '106993', 'n': 125, 'x': True, 'q': '7224.55054', 'V': '49485', 'Q': '3341.78991', 'B': '0'}}
== 2024-02-26 16:24:03.018809 writeLog== | k线完结,{'e': 'kline', 'E': 1708935843001, 's': 'ARPAUSDT', 'k': {'t': 1708935780000, 'T': 1708935839999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026629, 'L': 168026756, 'o': '0.06754', 'c': '0.06763', 'h': '0.06763', 'l': '0.06754', 'v': '76361', 'n': 128, 'x': True, 'q': '5160.69014', 'V': '44769', 'Q': '3025.98511', 'B': '0'}}
== 2024-02-26 16:25:03.018579 writeLog== | k线完结,{'e': 'kline', 'E': 1708935903001, 's': 'ARPAUSDT', 'k': {'t': 1708935840000, 'T': 1708935899999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026757, 'L': 168026955, 'o': '0.06763', 'c': '0.06760', 'h': '0.06769', 'l': '0.06760', 'v': '181515', 'n': 199, 'x': True, 'q': '12278.61077', 'V': '103425', 'Q': '6996.79830', 'B': '0'}}
== 2024-02-26 16:26:03.025136 writeLog== | k线完结,{'e': 'kline', 'E': 1708935963000, 's': 'ARPAUSDT', 'k': {'t': 1708935900000, 'T': 1708935959999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168026956, 'L': 168027183, 'o': '0.06760', 'c': '0.06761', 'h': '0.06764', 'l': '0.06758', 'v': '199055', 'n': 228, 'x': True, 'q': '13458.17057', 'V': '43940', 'Q': '2971.31044', 'B': '0'}}
== 2024-02-26 16:27:01.048458 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708936021048, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:27:03.017184 writeLog== | k线完结,{'e': 'kline', 'E': 1708936023000, 's': 'ARPAUSDT', 'k': {'t': 1708935960000, 'T': 1708936019999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027184, 'L': 168027262, 'o': '0.06762', 'c': '0.06758', 'h': '0.06762', 'l': '0.06758', 'v': '59132', 'n': 79, 'x': True, 'q': '3996.82865', 'V': '5989', 'Q': '404.79475', 'B': '0'}}
